"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.88048857403676e-39,0.379070612895942,0.331,0.229,1.2264179737697e-34,"16","Scfd1"
5.57376975995873e-39,0.362759871170787,0.334,0.233,1.40063260298003e-34,"16","Stk11"
7.01972346253139e-39,0.325593432018188,0.261,0.171,1.76398630889951e-34,"16","Stk39"
7.65684938224235e-39,0.296374136339862,0.399,0.284,1.92408968126368e-34,"16","Adnp"
9.11266231690347e-39,0.299081049992196,0.405,0.29,2.28992091361467e-34,"16","Rsl1d1"
9.6765125786934e-39,0.435644044151568,0.256,0.168,2.43161084589986e-34,"16","Med7"
9.8543672601879e-39,0.307995298954438,0.389,0.279,2.47630394881262e-34,"16","Prpf8"
9.90005808393015e-39,0.251896502273902,0.472,0.351,2.48778559591081e-34,"16","Psmd11"
1.15229905800283e-38,0.448477679620209,0.261,0.172,2.89561230285532e-34,"16","Psmd9"
3.01690606554634e-38,0.293466764668563,0.393,0.281,7.58118325211139e-34,"16","Hpf1"
3.4841705667957e-38,0.456286385412774,0.257,0.169,8.75537221730093e-34,"16","Rpp25l"
4.43141551994516e-38,0.398122823612425,0.281,0.188,1.11357040600702e-33,"16","Hspa14"
5.8765875902023e-38,0.367061839106907,0.322,0.222,1.47672769554194e-33,"16","Blmh"
5.93425246326028e-38,0.281137108603316,0.415,0.299,1.49121830149268e-33,"16","Strn3"
7.33941749425656e-38,0.378007653135911,0.296,0.2,1.84432222213173e-33,"16","Slmap"
7.9751016470115e-38,0.467064265376071,0.253,0.168,2.00406329287752e-33,"16","Ilf3"
8.2600103046025e-38,0.301634907664584,0.295,0.197,2.07565798944356e-33,"16","Ski"
9.44236204729688e-38,0.409244757978234,0.277,0.185,2.37277115886523e-33,"16","Crnkl1"
1.15857059564668e-37,0.343165894092977,0.315,0.215,2.91137204980055e-33,"16","Scoc"
1.36751999877045e-37,0.432681369325235,0.263,0.175,3.43644100491026e-33,"16","Nr2c2"
1.75240280822745e-37,0.456225719290632,0.27,0.183,4.40361301679476e-33,"16","Gps1"
2.25763944134457e-37,0.29269728719128,0.422,0.31,5.67322215215478e-33,"16","Txndc9"
2.94530373025105e-37,0.435170719626551,0.259,0.172,7.40125374374787e-33,"16","4933434E20Rik"
2.97441974417045e-37,0.436744807698255,0.255,0.168,7.47441937512593e-33,"16","Mfsd14a"
3.68570744648582e-37,0.28849943532665,0.376,0.27,9.26181424227423e-33,"16","Mrpl12"
4.0039327349234e-37,0.430949385935489,0.272,0.185,1.0061482569589e-32,"16","Pdxdc1"
4.05526955696405e-37,0.355921704084809,0.336,0.237,1.0190486869695e-32,"16","Rab24"
6.67368017169314e-37,0.425756051837051,0.265,0.178,1.67702909034477e-32,"16","Pex2"
6.86073481677295e-37,0.339456942702268,0.353,0.252,1.72403405210688e-32,"16","Nsmce1"
1.02850660219712e-36,0.2682668355056,0.383,0.272,2.58453424066114e-32,"16","4932438A13Rik"
1.22363931346675e-36,0.380165372804832,0.279,0.189,3.07488323081059e-32,"16","3830406C13Rik"
1.31947700262976e-36,0.315621361895204,0.379,0.273,3.31571375990832e-32,"16","Gm47283"
1.40192554889866e-36,0.459465017614666,0.256,0.17,3.52289871182744e-32,"16","Thumpd1"
