"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dcdc2a",7.74213395259398e-05,0.961587978367503,1,0.7,1
"Cpa3",8.06406347210406e-05,0.934721410633446,0.6,0.3,1
"Samd9l",8.1660647873662e-05,0.680517769473102,1,0.9,1
"Ttll7",9.5932417853916e-05,1.34777104291735,1,0.9,1
"Adar",9.90182644421389e-05,-0.573455683092508,1,1,1
"Macrod1",0.000101151196767932,1.02386857063444,1,0.6,1
"Uba52",0.000110563850940574,0.823762747014999,1,0.9,1
"Atxn7l3",0.000113383088209825,0.676751814574777,0.9,0.9,1
"1700012B09Rik",0.000128643087511438,1.06239744077447,1,0.7,1
"Ifi35",0.000135894236044148,0.637148756218132,1,0.9,1
"Tcof1",0.000142169919375969,0.60220582867183,1,0.9,1
"Tdrd7",0.000146709868172769,0.745972239920821,1,0.9,1
"Igsf8",0.00015122360332654,-1.26732042818964,0.9,1,1
"Prxl2b",0.000155597669836416,0.0286691393799324,1,1,1
"Ms4a4c",0.000164907374351944,1.32577240916854,1,0.9,1
"Ifi44",0.00016682354182302,0.843288590487917,0.9,0.9,1
"Mitd1",0.000170413401214841,0.841868634166081,1,0.9,1
"Nedd4l",0.000176581296348249,0.99917353555933,1,0.8,1
"Trim34a",0.000177659029728429,0.77261851070914,0.9,0.9,1
"Hps3",0.000178579071685625,0.832775255057124,1,0.9,1
"Tgtp2",0.000182784927897905,0.725396421521615,0.9,0.9,1
"Ptms",0.000187346965555433,0.492854384098163,1,0.9,1
"Irf9",0.000198853325132222,0.682439763976793,1,0.9,1
"Herc6",0.000201897491538005,0.67747278787983,0.9,0.9,1
"Dennd1b",0.000207775884464497,-0.294185617109275,1,1,1
"Nsg1",0.000208670397324776,1.37785407416358,1,0.9,1
"Agtpbp1",0.000213568700514729,0.71071274929324,0.9,0.9,1
"Anp32b",0.000217156332907614,0.615361539584038,1,0.9,1
"Zfp36",0.000224711727714246,-0.627019027327847,1,1,1
"Gm5431",0.000230211695929177,0.632286992197355,0.9,0.9,1
"Cfap36",0.000239424974539166,1.19132157287273,1,0.9,1
"Npm3",0.00024057966086894,0.813453323502232,1,0.9,1
"Larp7",0.00024977743343568,0.724646165045288,1,0.9,1
"Gnal",0.000255901321226495,0.797878633122967,1,1,1
"Asph",0.000257147336064326,0.14035298591802,1,1,1
"Serpine2",0.000266887110066116,1.27934086986894,1,0.9,1
"H2-Q7",0.000316507411941006,1.29148722707102,1,0.9,1
"Rbbp9",0.000323009178423728,0.670924711881666,0.8,0.8,1
"Elmod3",0.000335088447979595,0.701059482238823,0.9,0.6,1
"Nfxl1",0.000339964749600001,0.671981437710278,0.9,0.9,1
"Rrs1",0.000344240677160732,0.793452041482943,1,0.9,1
"Tor1aip1",0.000346174688423806,0.603892242847015,1,0.9,1
"Tap1",0.000347233184194848,0.707588256798089,1,0.9,1
"Ifi206",0.000375007295678955,0.9282880352841,0.9,0.9,1
"2410006H16Rik",0.000418718579761152,-0.286376689795877,1,0.9,1
"Ebf3",0.000425815272198016,1.22482213894375,0.7,0.4,1
"Lsm2",0.0004307855538047,0.611369410346405,1,0.9,1
"Dhx29",0.000432694574741045,0.859460332808384,1,0.9,1
"Sumf1",0.000461062404197065,0.598472678958645,0.9,0.9,1
"Ddx60",0.000462669512303384,0.819753726162334,0.9,0.9,1
"Jund",0.000464100036539709,-0.597601345919918,1,1,1
"A930037H05Rik",0.000486611756598071,1.06013181569463,1,0.9,1
"Tnfsf10",0.000525956145074883,0.633719219206215,0.9,0.6,1
"Sec22c",0.000537331279130837,0.474782373378634,0.9,0.4,1
"Ipcef1",0.000563815386430434,1.01471679684073,1,0.9,1
"Ier5",0.000574422935268221,-0.538291005239591,1,1,1
"mt-Atp8",0.00058449726069881,0.930938498255961,1,0.9,1
